DatasetKey,Ablation,MSE_delta_pct
private,exo_add,-0.32
private,exo_concat,-0.17
private,exo_patch,-0.21
private,full,0.0
private,no_exo,-0.3
private,no_global,-0.35
public,exo_add,-0.74
public,exo_concat,-0.11
public,exo_patch,1.96
public,full,0.0
public,no_exo,1.98
public,no_global,1.98
